,Station / Province,Province,,,,,,Station / Province,Province,,,,Eastern Cape,,,Joza,Eastern Cape,,,,,,,,,CLUSTER,PROVINCE,,Cluster,,,,Murder,,,Murder,,,,CLUSTER,PROVINCE,,,,,,,,,,Province,Cluster,Station,,Province,Cluster,Station
,Floukraal,Eastern Cape,,,Bedfordview,,,Bedfordview,Gauteng,,,,,,,,,,,,,,,,,HILLBROW CC,GAUTENG,,Hillbrow Cc,,,,,,,,,,,HILLBROW CC,GAUTENG,,,,,,,,,,Gauteng,Germiston Cc,Bedfordview,,Gauteng,Germiston Cc,Bedfordview
,Fort Beaufort,Eastern Cape,,,Bedwang,,,Bedwang,North West,,,,,,,,,,,,,,,,,HONEYDEW CC,GAUTENG,,Honeydew Cc,,,,,,,,,,,HONEYDEW CC,GAUTENG,,,,,,,,,,North West,Mmakau Cc,Bedwang,,North West,Mmakau Cc,Bedwang
,Fort Brown,Eastern Cape,,,Bekkersdal,,,Bekkersdal,Gauteng,,,,,,,,,,,,,,,,,JHB CENTRAL CC,GAUTENG,,Hopetown Cc,,,,,,,,,,,JHB CENTRAL CC,GAUTENG,,,,,,,,,,Gauteng,Carletonville Cc,Bekkersdal,,Gauteng,Carletonville Cc,Bekkersdal
,Gelvandale,Eastern Cape,,,Bela-Bela,,,Bela-Bela,Limpopo,,,,,,,,,,,,,,,,,KATLEHONG CC,GAUTENG,,Howick Cc,,,,,,,,,,,KATLEHONG CC,GAUTENG,,,,,,,,,,Limpopo,Bela Bela Cc,Bela-Bela,,Limpopo,Bela Bela Cc,Bela-Bela
,Glen Grey,Eastern Cape,,,Belfast,,,Belfast,Mpumalanga,,,,,,,,,,,,,,,,,KRUGERSDORP CC,GAUTENG,,Humansdorp Cc,,,,,,,,,,,KRUGERSDORP CC,GAUTENG,,,,,,,,,,Mpumalanga,Belfast Cc,Belfast,,Mpumalanga,Belfast Cc,Belfast
,Gonubie,Eastern Cape,,,Belhar,,,Belhar,Western Cape,,,,,,,,,,,,,,,,,MAMELODI CC,GAUTENG,,Inanda Cc,,,,,,,,,,,MAMELODI CC,GAUTENG,,,,,,,,,,Western Cape,Delft Cc,Belhar,,Western Cape,Delft Cc,Belhar
,Graaff-Reinet,Eastern Cape,,,Bell,,,Bell,Eastern Cape,,,,,,,,,,,,,,,,,MOROKA CC,GAUTENG,,Jhb Central Cc,,,,,,,,,,,MOROKA CC,GAUTENG,,,,,,,,,,Eastern Cape,Peddie Cc,Bell,,Eastern Cape,Peddie Cc,Bell
,Grahamstown,Eastern Cape,,,Bellair,,,Bellair,Kwazulu/Natal,,,,,,,,,,,,,,,,,ORLANDO CC,GAUTENG,,Jozini Cc,,,,,,,,,,,ORLANDO CC,GAUTENG,,,,,,,,,,Kwazulu/Natal,Chatsworth Cc,Bellair,,Kwazulu/Natal,Chatsworth Cc,Bellair
,Hamburg,Eastern Cape,,,Bellville,,,Bellville,Western Cape,,,,,,,,,,,,,,,,,PRETORIA CENTRAL CC,GAUTENG,,Kakamas Cc,,,,,,,,,,,PRETORIA CENTRAL CC,GAUTENG,,,,,,,,,,Western Cape,Bellville Cc,Bellville,,Western Cape,Bellville Cc,Bellville
,Hankey,Eastern Cape,,,Bellville South,,,Bellville South,Western Cape,,,,,,,,,,,,,,,,,SEBOKENG CC,GAUTENG,,Kathu Cc,,,,,,,,,,,SEBOKENG CC,GAUTENG,,,,,,,,,,Western Cape,Delft Cc,Bellville South,,Western Cape,Delft Cc,Bellville South
,Healdtown,Eastern Cape,,,Belmont,,,Belmont,Northern Cape,,,,,,,,,,,,,,,,,SPRINGS CC,GAUTENG,,Katlehong Cc,,,,,,,,,,,SPRINGS CC,GAUTENG,,,,,,,,,,Northern Cape,Hopetown Cc,Belmont,,Northern Cape,Hopetown Cc,Belmont
,Henderson,Eastern Cape,,,Benoni,,,Benoni,Gauteng,,,,,,,,,,,,,,,,,SUNNYSIDE CC,GAUTENG,,Khayelitsha Cc,,,,,,,,,,,SUNNYSIDE CC,GAUTENG,,,,,,,,,,Gauteng,Benoni Cc,Benoni,,Gauteng,Benoni Cc,Benoni
,Hlababomvu,Eastern Cape,,,Berea,,,Berea,Kwazulu/Natal,,,,,,,,,,,,,,,,,TEMBA CC,GAUTENG,,Kimberley Cc,,,,,,,,,,,TEMBA CC,GAUTENG,,,,,,,,,,Kwazulu/Natal,Durban Central Cc,Berea,,Kwazulu/Natal,Durban Central Cc,Berea
,Hofmeyr,Eastern Cape,,,Bergville,,,Bergville,Kwazulu/Natal,,,,,,,,,,,,,,,,,TEMBISA CC,GAUTENG,,King William'S T Cc,,,,,,,,,,,TEMBISA CC,GAUTENG,,,,,,,,,,Kwazulu/Natal,Ladysmith Cc,Bergville,,Kwazulu/Natal,Ladysmith Cc,Bergville
,Hogsback,Eastern Cape,,,Berlin,,,Berlin,Eastern Cape,,,,,,,,,,,,,,,,,VEREENIGING CC,GAUTENG,,Klerksdorp Cc,,,,,,,,,,,VEREENIGING CC,GAUTENG,,,,,,,,,,Eastern Cape,Mdantsane Cc,Berlin,,Eastern Cape,Mdantsane Cc,Berlin
,Humansdorp,Eastern Cape,,,Besters,,,Besters,Kwazulu/Natal,,,,,,,,,,,,,,,,,BRIGHTON BEACH CC,KWAZULU/NATAL,,Koffiefontein Cc,,,,,,,,,,,BRIGHTON BEACH CC,KWAZULU/NATAL,,,,,,,,,,Kwazulu/Natal,Ladysmith Cc,Besters,,Kwazulu/Natal,Ladysmith Cc,Besters
,Humewood,Eastern Cape,,,Bethal,,,Bethal,Mpumalanga,,,,,,,,,,,,,,,,,CHATSWORTH CC,KWAZULU/NATAL,,Kokstad Cc,,,,,,,,,,,CHATSWORTH CC,KWAZULU/NATAL,,,,,,,,,,Mpumalanga,Secunda Cc,Bethal,,Mpumalanga,Secunda Cc,Bethal
,Ida,Eastern Cape,,,Bethanie,,,Bethanie,North West,,,,,,,,,,,,,,,,,DUNDEE CC,KWAZULU/NATAL,,Kraaifontein Cc,,,,,,,,,,,DUNDEE CC,KWAZULU/NATAL,,,,,,,,,,North West,Brits Cc,Bethanie,,North West,Brits Cc,Bethanie
,Ikamvelihle,Eastern Cape,,,Bethelsdorp,,,Bethelsdorp,Eastern Cape,,,,,,,,,,,,,,,,,DURBAN CENTRAL CC,KWAZULU/NATAL,,Kroonstad Cc,,,,,,,,,,,DURBAN CENTRAL CC,KWAZULU/NATAL,,,,,,,,,,Eastern Cape,Mount Road Cc,Bethelsdorp,,Eastern Cape,Mount Road Cc,Bethelsdorp
,Ilinge,Eastern Cape,,,Bethlehem,,,Bethlehem,Free State,,,,,,,,,,,,,,,,,EMPANGENI CC,KWAZULU/NATAL,,Krugersdorp Cc,,,,,,,,,,,EMPANGENI CC,KWAZULU/NATAL,,,,,,,,,,Free State,Bethlehem Cc,Bethlehem,,Free State,Bethlehem Cc,Bethlehem
,Indwe,Eastern Cape,,,Bethulie,,,Bethulie,Free State,,,,,,,,,,,,,,,,,ESHOWE CC,KWAZULU/NATAL,,Kuilsrivier Cc,,,,,,,,,,,ESHOWE CC,KWAZULU/NATAL,,,,,,,,,,Free State,Trompsburg Cc,Bethulie,,Free State,Trompsburg Cc,Bethulie
