Province,Station,Category,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,Severity,Slope,Residual
Gauteng,Wierdabrug,Murder,40,46,28,31,40,36,12,8,14,3,11,1,-3.9363636363636334,44.136363636363626
Eastern Cape,Kwazakele,Murder,113,133,104,114,70,85,98,71,83,66,105,1,-3.8999999999999937,114.2272727272727
Eastern Cape,Queenstown,Murder,41,43,37,45,43,35,42,24,6,8,14,1,-3.736363636363636,49.40909090909091
Kwazulu/Natal,Bhekithemba,Murder,75,61,75,76,74,55,43,52,52,42,43,1,-3.4909090909090863,76.36363636363636
Kwazulu/Natal,Kwadukuza,Murder,90,82,75,82,63,68,57,47,55,69,52,1,-3.4363636363636334,84.45454545454547
Kwazulu/Natal,Sundumbili,Murder,67,66,73,68,62,34,31,38,54,36,47,1,-3.345454545454545,69.0909090909091
Northern Cape,Galeshewe,Murder,46,64,63,50,24,22,22,24,37,36,22,1,-3.309090909090909,53.81818181818182
Kwazulu/Natal,Kwambonambi,Murder,59,48,49,45,45,30,22,28,31,24,29,1,-3.245454545454545,53.500000000000014
Gauteng,Moroka,Murder,76,86,86,64,66,78,53,48,51,47,70,1,-3.054545454545453,81.1818181818182
Eastern Cape,New Brighton,Murder,129,113,97,73,82,90,115,78,102,90,69,1,-3.0363636363636344,109.54545454545456
Kwazulu/Natal,Nongoma,Murder,73,61,79,51,66,27,35,39,40,46,54,1,-2.9727272727272727,66.77272727272728
Western Cape,Langa,Murder,65,67,59,53,46,65,36,28,38,43,44,1,-2.945454545454545,64.18181818181819
Mpumalanga,Mhluzi,Murder,38,34,39,31,21,15,16,20,14,17,9,1,-2.8636363636363633,37.409090909090914
Gauteng,Hillbrow,Murder,107,105,84,87,63,50,56,63,67,58,103,1,-2.8545454545454523,90.9090909090909
Kwazulu/Natal,Montclair,Murder,36,36,26,34,36,14,15,12,16,8,16,1,-2.7909090909090883,36.590909090909086
Kwazulu/Natal,Nquthu,Murder,52,60,40,32,30,24,30,34,20,28,29,1,-2.718181818181817,48.04545454545455
Kwazulu/Natal,Kwamsane,Murder,69,64,57,61,56,61,33,46,46,46,41,1,-2.7090909090909068,66.2727272727273
Kwazulu/Natal,Kwadabeka,Murder,83,70,92,77,58,35,41,50,61,59,66,1,-2.6636363636363622,76.22727272727273
Eastern Cape,Walmer,Murder,46,58,47,36,31,32,26,28,26,21,34,1,-2.654545454545455,48.27272727272729
Kwazulu/Natal,Mariannhill,Murder,74,84,70,69,65,80,61,47,45,64,60,1,-2.4818181818181797,77.7727272727273
Western Cape,Knysna,Murder,46,48,26,29,28,24,26,16,12,11,36,1,-2.436363636363634,39.636363636363626
Kwazulu/Natal,Umkomaas,Murder,37,59,48,47,40,28,37,25,27,28,31,1,-2.4000000000000012,49.00000000000002
Gauteng,Bekkersdal,Murder,0,0,0,0,0,0,0,59,62,53,54,1,-2.3999999999999995,77.40000000000002
Kwazulu/Natal,Msinga,Murder,49,67,58,50,63,47,29,46,43,33,41,1,-2.390909090909089,59.772727272727266
Eastern Cape,Graaff-Reinet,Murder,40,26,37,20,25,13,18,15,16,13,14,1,-2.3818181818181823,33.45454545454546
Limpopo,Polokwane,Murder,27,22,36,44,40,27,37,6,12,11,14,1,-2.3636363636363633,36.90909090909091
North West,Tlhabane,Murder,24,26,44,35,24,13,16,13,13,14,11,1,-2.345454545454545,32.909090909090914
Kwazulu/Natal,Greenwood Park,Murder,42,35,53,39,32,34,26,23,27,29,20,1,-2.272727272727271,44.090909090909086
Kwazulu/Natal,Chatsworth,Murder,76,72,77,49,47,45,53,46,56,49,59,1,-2.1818181818181794,68.0909090909091
Gauteng,Temba,Murder,60,77,58,53,53,47,37,32,47,49,53,1,-2.1636363636363645,62.272727272727295
Eastern Cape,Grahamstown,Murder,40,30,36,35,42,34,30,32,28,11,16,1,-2.163636363636362,41.18181818181817
Eastern Cape,Port Alfred,Murder,26,19,12,2,0,4,1,2,0,1,0,1,-2.1545454545454548,16.863636363636367
Gauteng,Reigerpark,Murder,38,50,41,53,46,35,34,20,27,32,29,1,-2.1545454545454534,47.5909090909091
Kwazulu/Natal,Kwamakhutha,Murder,74,72,94,46,69,54,44,54,54,61,62,1,-2.1181818181818173,72.7727272727273
Kwazulu/Natal,Kranskop,Murder,34,42,21,28,10,17,21,16,14,20,12,1,-2.109090909090908,31.90909090909091
Eastern Cape,Motherwell,Murder,72,70,54,51,38,44,42,37,48,44,55,1,-2.1000000000000005,60.95454545454547
Eastern Cape,Mdantsane,Murder,72,43,54,58,64,41,38,36,62,42,37,1,-2.045454545454544,59.95454545454547
Gauteng,Alexandra,Murder,67,89,101,93,84,73,58,76,78,68,65,1,-2.027272727272724,87.59090909090908
Eastern Cape,Kamesh,Murder,36,42,32,27,23,32,19,18,23,24,16,1,-2.0090909090909093,36.5909090909091
Kwazulu/Natal,Ekuvukeni,Murder,34,32,28,34,22,30,25,17,15,19,15,1,-1.9727272727272713,34.50000000000001
North West,Rustenburg,Murder,58,68,88,86,68,48,45,54,48,53,68,1,-1.9727272727272713,72.04545454545455
Gauteng,Tsakane,Murder,50,65,76,89,74,67,58,51,52,53,49,1,-1.9727272727272696,72.04545454545453
Eastern Cape,Kabega Park,Murder,40,37,28,31,28,23,30,25,19,14,23,1,-1.9454545454545458,36.81818181818182
Kwazulu/Natal,Ladysmith,Murder,47,62,59,66,54,44,39,46,39,34,50,1,-1.927272727272724,58.72727272727272
Kwazulu/Natal,Point,Murder,29,24,25,18,10,10,5,8,12,11,10,1,-1.9181818181818175,24.31818181818182
Kwazulu/Natal,Cato Manor,Murder,48,58,44,64,57,37,29,42,39,40,38,1,-1.9000000000000004,54.59090909090911
Western Cape,Conville,Murder,35,28,19,16,21,12,14,14,15,12,11,1,-1.8818181818181814,27.318181818181824
Gauteng,Krugersdorp,Murder,33,58,35,39,31,23,24,19,29,19,36,1,-1.8727272727272717,40.81818181818183
Gauteng,Ga-Rankuwa,Murder,32,27,22,24,22,24,14,14,12,12,15,1,-1.8454545454545457,29.04545454545455
Kwazulu/Natal,Hillcrest,Murder,50,39,54,47,30,26,14,36,34,37,32,1,-1.7818181818181815,45.18181818181819
Kwazulu/Natal,Greytown,Murder,31,34,31,26,25,17,26,24,24,11,15,1,-1.78181818181818,32.90909090909091
Eastern Cape,East London,Murder,47,46,47,64,51,50,47,39,34,30,41,1,-1.6999999999999988,53.59090909090909
Free State,Zamdela,Murder,0,0,0,0,0,0,27,27,17,24,20,1,-1.699999999999997,36.59999999999998
Mpumalanga,Masoyi,Murder,43,41,32,23,23,13,24,24,19,20,30,1,-1.6818181818181825,34.95454545454546
Kwazulu/Natal,Ezakheni,Murder,71,66,45,73,67,52,34,29,49,56,64,1,-1.6727272727272704,63.45454545454545
Eastern Cape,Kwanobuhle,Murder,36,56,42,41,34,35,31,42,25,35,27,1,-1.6454545454545457,44.95454545454547
Eastern Cape,Humansdorp,Murder,19,26,21,24,16,20,16,9,5,7,14,1,-1.6272727272727272,24.227272727272727
Western Cape,Kwanonqaba,Murder,26,29,36,26,30,18,12,10,12,16,25,1,-1.6272727272727265,29.954545454545457
Kwazulu/Natal,Mpophomeni,Murder,21,17,15,18,17,15,14,4,10,3,6,1,-1.6090909090909085,20.772727272727273
Gauteng,Douglasdale,Murder,32,17,29,28,18,4,11,16,14,12,17,1,-1.5545454545454542,25.77272727272728
Kwazulu/Natal,Folweni,Murder,31,53,46,47,49,33,25,31,28,37,32,1,-1.5363636363636362,45.13636363636365
Kwazulu/Natal,Pietermaritzburg,Murder,44,42,54,42,36,30,30,43,26,35,34,1,-1.509090909090909,45.363636363636374
Eastern Cape,Buffalo Flats,Murder,29,23,34,37,15,35,25,20,20,15,16,1,-1.4818181818181801,31.863636363636363
Northern Cape,Kakamas,Murder,21,18,19,12,7,3,6,8,8,9,6,1,-1.3909090909090904,17.59090909090909
Kwazulu/Natal,Eshowe,Murder,60,44,40,49,49,60,34,40,43,36,41,1,-1.3727272727272726,51.95454545454546
Kwazulu/Natal,Umzinto,Murder,23,21,35,31,35,23,18,23,8,14,22,1,-1.3363636363636358,29.68181818181818
Kwazulu/Natal,Ibisi,Murder,21,38,17,18,11,18,11,14,17,15,12,1,-1.3181818181818181,24.045454545454554
Kwazulu/Natal,Mahlabathini,Murder,25,22,20,21,24,14,7,13,13,13,14,1,-1.318181818181818,23.500000000000004
Gauteng,Akasia,Murder,29,46,50,51,37,37,28,32,32,40,25,1,-1.3181818181818177,43.59090909090911
Gauteng,Brakpan,Murder,28,23,16,21,26,13,11,18,15,14,11,1,-1.318181818181817,24.409090909090903
Kwazulu/Natal,Amangwe,Murder,18,37,19,28,24,15,16,17,7,14,21,1,-1.2999999999999996,26.13636363636364
Gauteng,Mabopane,Murder,24,30,28,34,15,16,15,16,17,24,14,1,-1.2999999999999994,27.681818181818183
Mpumalanga,Kabokweni,Murder,34,41,30,24,29,22,18,12,15,34,27,1,-1.2999999999999974,32.499999999999986
Eastern Cape,'King William''S Town',Murder,16,24,31,28,12,16,16,12,11,12,15,1,-1.2818181818181822,23.954545454545464
Kwazulu/Natal,Maphumulo,Murder,29,38,20,24,19,23,17,15,22,25,14,1,-1.2818181818181815,28.772727272727273
Kwazulu/Natal,Umzimkhulu,Murder,26,30,29,28,21,16,15,18,18,17,20,1,-1.281818181818181,28.045454545454543
Northern Cape,Kimberley,Murder,27,24,23,27,16,20,17,16,19,17,12,1,-1.2363636363636346,25.999999999999993
Kwazulu/Natal,Newlands East,Murder,28,25,18,23,19,11,20,21,11,15,14,1,-1.218181818181819,24.72727272727274
Eastern Cape,Zwelitsha,Murder,20,21,34,18,23,16,27,12,15,15,11,1,-1.2181818181818176,25.363636363636363
Eastern Cape,Inyibiba,Murder,34,32,28,26,24,20,22,22,26,18,22,1,-1.1999999999999995,30.909090909090914
